Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
aws-cdk-aws-lambda-python-alpha,68449,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-s3-deployment,64442,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-lambda-layer-kubectl,62320,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-codedeploy,57898,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
pytest-playwright,69243,6.74,10,8,0,8,10,10,0,10,10,,9,10,,0,10
flask-sqlalchemy,3838346,6.71,10,3,0,6,10,10,0,10,10,,7,10,8,0,10
analytics-python,960849,6.71,10,6,0,9,10,10,0,10,10,,5,0,,10,10
tink,801748,6.71,9,0,0,10,10,10,10,10,10,,9,10,0,0,10
google-resumable-media,45262582,6.68,10,8,0,10,10,10,10,10,4,,4,10,,0,10
jira,3279865,6.68,10,8,0,10,10,10,0,10,10,10,5,0,0,0,10
dbt-core,1343039,6.68,10,8,0,10,10,10,,10,10,10,5,0,0,0,10
cloudformation-cli-typescript-plugin,647219,6.68,10,10,0,10,10,10,0,10,10,,2,10,0,0,10
dbt-postgres,592935,6.68,10,8,0,10,10,10,,10,10,10,5,0,0,0,10
dbt,159207,6.68,10,8,0,10,10,10,,10,10,10,5,0,0,0,10
marshmallow-sqlalchemy,3931225,6.66,10,3,0,8,10,10,0,10,10,,10,0,,10,10
pymemcache,978661,6.66,10,6,0,9,10,10,0,10,10,,9,10,0,0,10
cloudformation-cli-java-plugin,651713,6.66,10,10,0,10,10,10,0,10,1,10,5,10,0,0,10
semgrep,347133,6.66,10,1,0,10,10,10,0,10,10,10,5,10,0,0,10
epsagon,217527,6.66,10,8,0,10,10,10,0,10,3,,10,0,,10,10
jinja2,71523628,6.63,10,3,0,5,10,10,0,10,10,,7,10,8,0,10
werkzeug,41160015,6.63,10,3,0,5,10,10,0,10,10,,7,10,8,0,10
google-cloud-bigquery-storage,21985816,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
pandas-gbq,17688012,6.63,10,8,0,10,10,10,0,10,10,,4,10,0,0,10
google-cloud-dlp,9655709,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-datastore,5699951,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-pubsublite,3896845,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-spanner,3585098,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-appengine-logging,3378178,6.63,10,8,0,10,10,10,,10,10,,4,10,,0,10
google-cloud-language,2630269,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-vision,2627186,6.63,10,8,0,10,10,10,,10,10,,4,10,,0,10
google-cloud-monitoring,1940798,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-kms,1068042,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-dataproc,1028744,6.63,10,8,0,10,10,10,,10,10,,4,10,,0,10
google-cloud-trace,1019751,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-translate,1015155,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-workflows,975802,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-recommendations-ai,879214,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-dataflow-client,678228,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-container,564603,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
neptune-client,551030,6.63,10,6,0,10,10,10,0,10,10,10,7,0,,0,10
google-cloud-speech,502344,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-bigquery-datatransfer,482396,6.63,10,8,0,10,10,10,,10,10,,4,10,,0,10
google-cloud-build,474924,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-datacatalog,474895,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-os-login,410853,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-memcache,407812,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-texttospeech,406675,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-redis,405399,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-billing,222357,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-orchestration-airflow,217176,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-dataproc-metastore,198661,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-dataplex,197045,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-scheduler,164537,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
google-cloud-compute,87721,6.63,10,8,0,10,10,10,,10,10,,4,10,,0,10
google-cloud-retail,86872,6.63,10,8,0,10,10,10,,10,10,,4,10,,0,10
